dbLevel,dominantFrequency,variance,spikeCount,trainingLabel
48.5,121.38,6.11,5,HUMAN
117.92,3043.14,16.15,13,NON_HUMAN
101.27,3336.25,27.7,16,NON_HUMAN
47.46,209.45,3.62,5,HUMAN
46.86,96.07,7.89,3,HUMAN
96.33,1912.0,13.69,19,NON_HUMAN
61.02,131.81,4.42,5,HUMAN
108.25,4031.28,11.14,13,NON_HUMAN
52.71,139.32,2.47,1,HUMAN
59.46,288.11,3.28,1,HUMAN
103.96,1044.46,38.73,23,NON_HUMAN
94.43,2918.61,17.85,14,NON_HUMAN
70.48,174.31,7.57,3,HUMAN
119.97,2464.63,30.03,23,NON_HUMAN
52.5,279.14,7.57,1,HUMAN
83.89,4826.08,12.48,12,NON_HUMAN
93.0,2024.91,17.99,11,NON_HUMAN
109.41,1204.4,39.51,17,NON_HUMAN
74.88,281.47,7.1,5,HUMAN
55.05,159.73,5.94,4,HUMAN
66.77,231.58,6.72,1,HUMAN
86.49,1576.37,36.65,21,NON_HUMAN
83.17,4620.31,30.64,17,NON_HUMAN
111.98,2895.75,17.69,14,NON_HUMAN
58.05,255.19,2.28,4,HUMAN
118.73,4380.92,30.62,19,NON_HUMAN
92.33,4904.46,23.57,22,NON_HUMAN
98.89,1472.52,12.39,13,NON_HUMAN
94.32,4350.76,31.43,13,NON_HUMAN
112.07,2549.64,34.91,13,NON_HUMAN
71.78,223.57,7.69,1,HUMAN
91.24,1988.7,27.98,24,NON_HUMAN
70.36,186.57,6.71,4,HUMAN
95.9,3814.1,37.68,14,NON_HUMAN
89.24,3286.13,29.5,18,NON_HUMAN
102.55,2641.64,24.65,13,NON_HUMAN
50.89,167.21,3.84,5,HUMAN
65.81,290.62,4.35,2,HUMAN
62.68,161.78,1.24,1,HUMAN
81.08,2348.93,32.67,24,NON_HUMAN
58.09,144.65,6.02,2,HUMAN
117.83,2925.77,18.74,25,NON_HUMAN
107.85,1849.42,21.97,22,NON_HUMAN
108.53,1740.26,25.37,20,NON_HUMAN
71.06,157.84,1.21,2,HUMAN
115.19,2464.95,33.33,18,NON_HUMAN
66.12,105.29,4.65,4,HUMAN
74.83,198.06,5.89,4,HUMAN
55.8,125.85,2.86,5,HUMAN
108.78,2711.43,37.45,16,NON_HUMAN
73.89,108.47,5.84,4,HUMAN
50.62,279.52,4.24,5,HUMAN
85.81,4728.92,28.45,15,NON_HUMAN
70.9,293.28,7.38,3,HUMAN
91.05,4131.34,16.17,13,NON_HUMAN
54.94,211.31,7.87,1,HUMAN
80.15,4947.34,21.64,10,NON_HUMAN
102.99,2298.53,32.12,22,NON_HUMAN
86.61,4903.51,11.32,22,NON_HUMAN
58.46,260.9,3.72,2,HUMAN
71.81,183.52,7.77,2,HUMAN
68.35,289.5,1.56,5,HUMAN
87.67,4373.09,27.12,11,NON_HUMAN
56.66,205.57,3.81,4,HUMAN
109.65,2752.38,11.07,15,NON_HUMAN
91.08,3241.04,28.39,11,NON_HUMAN
113.78,4690.94,24.25,15,NON_HUMAN
91.34,2756.88,26.96,20,NON_HUMAN
112.95,4569.7,30.36,20,NON_HUMAN
56.21,252.61,7.32,5,HUMAN
65.99,99.64,2.52,4,HUMAN
71.28,116.19,2.41,3,HUMAN
68.54,92.63,5.27,2,HUMAN
94.82,3784.47,32.5,22,NON_HUMAN
62.75,217.09,7.84,1,HUMAN
56.15,255.24,4.29,2,HUMAN
59.32,213.27,3.93,3,HUMAN
116.24,2893.66,25.71,10,NON_HUMAN
53.64,152.79,2.19,4,HUMAN
91.13,2354.43,24.2,12,NON_HUMAN
81.34,3819.73,23.45,15,NON_HUMAN
73.69,241.8,1.2,1,HUMAN
66.11,139.68,5.87,2,HUMAN
64.87,269.72,4.75,3,HUMAN
84.95,1395.41,27.33,21,NON_HUMAN
63.36,296.11,7.55,4,HUMAN
112.09,3374.9,21.55,18,NON_HUMAN
95.5,4799.64,12.1,14,NON_HUMAN
104.04,3256.12,13.71,21,NON_HUMAN
81.7,2088.56,10.07,14,NON_HUMAN
57.82,186.94,2.31,5,HUMAN
73.6,103.6,5.26,1,HUMAN
72.87,197.74,3.84,1,HUMAN
111.5,1620.0,12.36,19,NON_HUMAN
83.82,2772.47,31.23,21,NON_HUMAN
65.0,145.52,4.92,3,HUMAN
47.35,228.63,6.5,2,HUMAN
57.76,231.67,2.63,1,HUMAN
65.13,160.07,6.88,1,HUMAN
66.57,235.7,4.42,5,HUMAN
118.74,1511.9,13.2,15,NON_HUMAN
60.34,288.51,1.42,1,HUMAN
100.92,1382.47,26.41,22,NON_HUMAN
51.57,213.88,4.89,1,HUMAN
87.55,1876.12,11.57,21,NON_HUMAN
103.95,4274.42,23.07,22,NON_HUMAN
108.41,4746.73,31.11,24,NON_HUMAN
91.43,2473.12,32.39,11,NON_HUMAN
81.47,3057.37,21.06,19,NON_HUMAN
68.12,241.25,2.53,1,HUMAN
47.78,234.57,5.73,1,HUMAN
88.82,3693.92,36.71,14,NON_HUMAN
99.1,3504.7,12.85,19,NON_HUMAN
92.12,2604.84,31.21,16,NON_HUMAN
57.29,230.92,7.01,3,HUMAN
117.34,3199.59,23.34,18,NON_HUMAN
61.88,263.17,5.83,4,HUMAN
110.52,1075.27,14.4,25,NON_HUMAN
68.53,299.43,5.32,4,HUMAN
86.7,3829.01,26.23,25,NON_HUMAN
85.36,4543.52,36.91,16,NON_HUMAN
67.74,221.97,4.52,2,HUMAN
92.02,2044.38,20.77,24,NON_HUMAN
51.29,194.94,7.99,3,HUMAN
84.35,2384.69,26.89,14,NON_HUMAN
111.05,2123.78,29.37,20,NON_HUMAN
96.6,1699.6,20.99,19,NON_HUMAN
57.94,222.49,4.24,1,HUMAN
70.92,104.93,7.04,4,HUMAN
84.17,4726.86,10.45,23,NON_HUMAN
109.43,1010.76,12.86,20,NON_HUMAN
68.25,163.56,4.61,4,HUMAN
98.78,4346.79,14.69,14,NON_HUMAN
67.6,99.73,1.75,2,HUMAN
49.81,99.51,3.74,1,HUMAN
52.65,172.02,7.14,4,HUMAN
94.44,3218.8,15.81,12,NON_HUMAN
73.07,297.79,4.29,1,HUMAN
107.61,1191.81,36.16,19,NON_HUMAN
105.23,2009.55,27.34,25,NON_HUMAN
98.51,1568.18,33.78,20,NON_HUMAN
108.77,4177.41,35.96,19,NON_HUMAN
72.88,250.04,5.86,1,HUMAN
107.37,1238.64,22.53,23,NON_HUMAN
63.04,167.57,5.13,2,HUMAN
53.33,296.03,7.63,1,HUMAN
50.14,282.91,2.05,5,HUMAN
57.41,111.97,1.02,3,HUMAN
74.49,81.18,2.68,4,HUMAN
51.91,236.47,3.29,2,HUMAN
113.24,2807.95,28.03,19,NON_HUMAN
67.06,170.67,1.12,5,HUMAN
64.85,180.1,7.3,5,HUMAN
62.04,191.34,1.57,2,HUMAN
111.36,1217.14,26.17,20,NON_HUMAN
88.67,4369.12,26.68,17,NON_HUMAN
104.01,4214.13,11.49,22,NON_HUMAN
109.18,1807.09,30.7,25,NON_HUMAN
52.34,196.69,7.44,3,HUMAN
69.55,122.53,4.57,5,HUMAN
93.03,4781.7,33.33,21,NON_HUMAN
97.0,1267.57,18.13,16,NON_HUMAN
48.12,277.07,6.05,2,HUMAN
45.78,179.71,2.6,1,HUMAN
48.08,145.99,4.2,3,HUMAN
94.62,4813.41,28.55,16,NON_HUMAN
57.69,116.99,5.3,5,HUMAN
114.54,2653.96,21.38,14,NON_HUMAN
89.56,3443.13,26.52,19,NON_HUMAN
71.86,258.48,7.46,1,HUMAN
74.79,156.96,3.86,1,HUMAN
69.29,102.36,6.71,5,HUMAN
56.33,106.38,6.32,3,HUMAN
104.96,3003.9,12.19,25,NON_HUMAN
67.77,205.55,5.89,5,HUMAN
57.3,275.42,5.65,3,HUMAN
50.09,269.61,3.65,1,HUMAN
101.56,2785.8,23.89,25,NON_HUMAN
90.4,4741.98,26.05,15,NON_HUMAN
104.81,4008.68,24.08,21,NON_HUMAN
52.36,85.94,6.4,2,HUMAN
111.87,1605.82,13.0,24,NON_HUMAN
59.27,217.65,4.53,4,HUMAN
